CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
10234,10235,6.7017,66.7605,5245.46,4373.9,3967.77,3127.42,1277.69,1246.48,9.93504,9.39785
10235,NULL,0.567972,17.4807,4369.59,3887.52,3351.57,2755.75,1018.02,1131.77,6.81456,8.43008
10236,10237,9.58298,65.3168,4763.73,3678.33,3595.82,2556.19,1167.91,1122.14,8.20648,7.26966
10237,10238,0.676987,22.8206,5147.21,4392.09,3924.15,3238.8,1223.06,1153.29,9.25486,8.75394
10238,NULL,0.956366,25.3111,4996.62,4832.33,3809.84,3637.85,1186.78,1194.47,8.86953,9.41927
10239,NULL,0.95855,12.9284,4658.58,4801.08,3724.59,3631.67,1248.32,1254.93,11.375,11.4677
10240,NULL,33.5825,288.532,3950.13,3795.46,3487.79,2548.31,1143.51,1145.94,8.11612,8.87781
10242,10243,7.89745,226.685,2826.78,3924.3,3398.47,2708.02,1057.99,1109.11,6.81118,8.81878
10250,NULL,0.531217,23.9814,3618.48,4018.84,3601.18,2466.81,1197.03,1183.11,10.2351,9.50682
10251,NULL,1.62017,28.8832,3565.35,3381.48,3603.38,2719.74,1124.1,1146.81,9.92685,9.71517
10263,NULL,1.71852,42.9008,3125.99,4016.41,3351.79,2491.65,1098.8,1107.32,6.88266,8.27506
1028,NULL,4.03611,151.306,4438.98,3473.99,3367.66,2360.3,1071.32,1012.02,7.03588,7.40572
10283,NULL,1.29675,13.3617,3156.08,3935.73,3516.92,2640.91,1185.61,1114.44,7.46245,7.79867
10284,NULL,2.4486,22.0728,4013.76,4153.55,3755.31,2914.77,1233.13,1190.48,9.4509,9.11487
10286,NULL,4.40681,79.884,4408.48,4563.15,3696.51,3182.93,1253.25,1196.53,9.56923,9.70623
10288,NULL,0.820282,25.794,3395.03,4524.84,3623.39,2754.54,1196.17,1184.96,8.78524,9.74943
103,NULL,1.88816,16.5396,3773.9,4769.67,3702.7,3241.11,1199.08,1164.27,9.21891,9.57026
1032,NULL,0.716261,11.1236,4485.41,4198.88,3377.78,2561.52,1107.63,1035.06,7.12962,7.75733
1033,1036,2.20266,114.764,5001.42,4588.86,3873.78,3465.93,1127.66,1171.37,9.72291,9.37423
1036,NULL,0.97029,68.841,5016.47,4358.92,3832.54,3110.08,1183.93,1169.62,9.83095,9.5702
10373,NULL,1.01061,39.2178,4162.78,4647.96,3858.11,3483.23,1250.45,1212.34,10.3953,10.0305
1039,NULL,0.22987,124.975,4991.96,4270.99,3318.24,2921.77,1136.79,1138.21,10.371,9.88344
1042,NULL,0.68156,41.9819,4635.57,4315.37,3477.61,2789.47,1157.97,1118.52,8.20309,8.58226
1044,NULL,1.02315,404.856,4955.95,4249.05,3825.26,3073.95,1130.68,1136.78,9.77297,9.18839
10467,10468,4.88275,198.087,4103.89,4304.89,3533.21,3058.26,1179.13,1180.09,8.36487,9.0401
10468,NULL,0.534562,50.8001,4780.28,4564.35,3506.77,3232.43,1211.06,1175.5,8.42487,8.68044
10469,NULL,0.813961,31.6172,3824.98,4511.91,3701.45,2704.29,1192.26,1232.18,9.13576,9.91174
10470,10467,1.71225,17.3828,3572.31,3938.21,3841.05,2938.36,1225.57,1193.94,8.71315,8.92169
10471,NULL,0.972754,75.6483,4423.29,4264.43,3711.05,3062.55,1255.38,1185.07,10.0016,9.09353
10474,NULL,0.511162,84.8426,4758.52,4533.89,3700.84,3225.87,1230.06,1236.96,8.92688,9.50183
10475,NULL,0.568736,26.6411,4447.33,5049.06,3887.28,4058.51,1263.61,1273.1,9.81328,10.3514
1048,NULL,1.57422,47.9306,4700.88,4263.5,3528.19,2833.85,1172.7,1167.14,7.61278,8.92898
1070,NULL,0.545422,15.7569,4864.66,5179.17,3525.63,3943.28,1144.43,1198.66,9.35708,9.98323
1071,NULL,0.10403,4.62357,5230.7,4617.92,3619.4,3626.78,1162.4,1159.46,9.90641,9.64081
1073,NULL,0.692184,109.386,3901.85,3874.94,3433.85,2505.04,1129.22,1125.34,8.69988,9.26422
1074,3178,0.0726685,5.02339,4521.99,4263.13,3570.91,3196.67,1189.63,1180.93,10.7105,10.5336
1077,NULL,1.39195,8.07983,4654.59,4376.78,3591.2,3211.11,1194.64,1179.65,10.7861,10.8308
1078,NULL,24.1594,118.368,4783.42,4758.57,3715.65,3565.29,1217.32,1192.56,9.80192,9.8352
1080,NULL,0.824485,31.7915,2414.43,3772.65,3053.93,2287.2,1038.13,1044.99,5.90182,8.62826
1081,1078,0.156652,4.15681,5341.02,5181.69,3848.78,4040.21,1230.19,1228.39,9.87389,9.75345
1082,NULL,0.937361,15.0108,4508.55,4896.58,3706.81,4131.15,1141.53,1143.71,8.56441,9.8999
1083,NULL,3.4861,642.249,2417.74,4385.46,3609.05,3291.86,1080.79,1125.75,7.17532,9.19286
1084,3495,0.247617,14.2393,4325.98,4330.92,3777.38,3521.69,1204.91,1189.94,9.86359,9.8389
1091,1095,1.48803,62.5979,5404.7,5105.41,3798.49,3939.67,1264.32,1201.62,10.0438,9.82933
1093,1099,2.25218,43.5273,4138.95,4768.77,3823.77,3356.44,1262.01,1246.64,11.2747,10.6702
1094,NULL,0.691881,25.8977,3598.09,4416.92,3226.98,2746.76,1116.59,1148.41,8.48838,9.58411
1095,NULL,3.51699,53.1268,3799.81,4605.21,3717.49,3386.57,1219.06,1183.66,9.37035,9.72499
1099,NULL,10.3352,95.6702,4859.25,5051.73,3856.03,3961.28,1258.98,1209.85,11.0462,10.944
1100,NULL,1.57529,42.3336,2651.73,3848.34,2962.34,2203.32,995.567,1047.59,6.04062,8.63392
1102,NULL,0.285763,4.6337,4627.23,4903,3766.66,3947.56,1245.65,1209.96,9.5691,9.86706
1104,1108,0.217763,7.53032,4999.89,5182.24,4000.28,4267.24,1232.84,1201.55,9.84514,10.2868
11040,NULL,0.0217658,0.221819,5206.65,5254.49,3884.5,3947.37,1322.14,1307.12,11.4888,11.5014
11042,10003,0.168386,5.11379,5193.86,4495.66,3883.44,3215.38,1310.42,1280.29,10.7802,10.6291
11056,10017,0.0911206,3.23135,5487.61,5021.32,4257.21,3755.45,1230.4,1265.86,10.2003,10.3505
11057,11056,0.407473,9.96292,4564.3,4396.62,3428.73,3161.11,1135.57,1235.52,8.56987,9.70173
11059,10016,0.0305008,1.56082,5219.38,5287.11,3948.06,4079.27,1271.32,1207.84,10.5313,10.3117
11060,NULL,0.0542352,1.56757,4896.8,5037.35,3610.75,3759.69,1286.05,1277.67,9.99458,9.97232
11061,10136,0.0042721,0.460245,4571.34,4421.65,3336.27,3188.99,1235.06,1232.67,9.26596,9.26315
11063,NULL,0.042402,0.85874,5195.43,5146.37,3952.89,3898.45,1242.55,1247.92,9.73189,9.74927
11064,NULL,0.185596,18.0128,4775.32,3726.13,3628.41,2584.26,1146.91,1141.88,8.60413,8.98821
11068,NULL,0.244179,36.1953,3833.15,4470.11,3533.31,3243.35,1130.15,1093.56,8.13534,9.22422
11069,NULL,0.0783025,1.84991,4653.02,4390.56,3391.45,2670.12,1148.53,1132.89,9.16606,9.47134
11070,10286,0.136468,5.40288,4678.88,4906.82,3851.18,3651.39,1245.12,1239,9.87503,9.83829
11071,10286,0.361946,2.82717,5093.83,5089.97,3754.61,3795.73,1243.41,1221.37,10.1067,10.0236
11072,NULL,0.0198613,0.66967,4445.91,4670.84,3993.6,3783.07,1311.44,1277.13,10.9183,10.7472
11073,10286,0.0845961,18.4755,4285.51,4861.87,3652.13,3104.51,1214.95,1187.83,9.97932,10.2557
11074,NULL,0.2448,2.92713,4398.46,4228.05,3892.81,3625.99,1336.02,1328.64,9.19457,9.45772
11075,11074,0.13938,5.36482,3975.71,5078.29,3672.69,2952.62,1279.2,1249.62,9.03976,10.1304
1108,NULL,0.71002,10.2247,5170.92,5198.6,3803.03,4038.94,1251.23,1218.8,10.4768,10.3341
1109,1099,0.0372555,0.113659,4995.88,4937.39,3972.06,3981.59,1294.58,1295.16,10.5414,10.3052
1113,1083,0.623695,172.771,1379.62,3905.37,3245.27,2712.38,1063.99,1140.58,4.04372,8.26941
1114,1123,0.136556,2.97868,4977.01,5060.26,3772.39,3956.92,1283.12,1250.04,10.3346,10.6225
1117,NULL,0.137305,5.70058,4662.29,5239.69,3430.61,2245.89,1180.24,1116.75,11.108,10.4856
1118,1128,7.58052,234.649,4639.31,4967.03,3704.71,3841.28,1164.95,1194.67,9.68895,9.46162
1119,1125,2.75371,41.4794,4470.33,4878.49,3585.95,3639.14,1147.91,1162.47,8.46533,9.01905
1120,1118,1.72106,17.4988,5261.88,5130.06,3629.22,3817.75,1180.73,1164.58,9.41788,9.60658
1123,1109,29.6943,217.988,4140.25,4372.45,3713.48,3242.7,1268.41,1227.3,8.92853,9.47427
1125,1131,0.0253526,0.313578,5592.24,5538.55,3665.88,3631.47,1216.48,1212.92,8.91625,8.84252
1127,NULL,0.378694,61.3252,5133.41,4538.25,3536.09,2921.86,1204.84,1138.75,11.1879,10.8658
